{16#8f7011ee, 16#fc78ff1f, 16#3793fdff}.
{16#13fb027f, 16#4020d009, 16#1ca5b5ff}.
{16#af4815e9, 16#3db8cf6f, 16#fc0af7ff}.
{16#866110cc, 16#3cf0cf3d, 16#ecb6bf7f}.
{16#6f880df1, 16#3bb8ceef, 16#647fbcff}.
{16#6d8a0db1, 16#3ba8ceeb, 16#15343bff}.
{16#23c40478, 16#39d8ce77, 16#5826feff}.
{16#3ed907db, 16#3930ce4d, 16#22d1fbfd}.
{16#39de073b, 16#3908ce43, 16#3fb03dfd}.
{16#1dfa03bf, 16#3828ce0b, 16#17e7ebff}.
{16#1cfb039f, 16#3820ce09, 16#2627bbff}.
{16#1afd035f, 16#3810ce05, 16#ebb8fbff}.
{16#f1171e22, 16#3740cdd1, 16#b589fdff}.
{16#fe181fc3, 16#3738cdcf, 16#ab61ddff}.
{16#a0461408, 16#35c8cd73, 16#43c8fdff}.
{16#8d6b11ad, 16#34a0cd29, 16#2977bf7f}.
{16#9e7813cf, 16#3438cd0f, 16#946dffff}.
{16#9c7a138f, 16#3428cd0b, 16#1db27f7d}.
{16#53b50a76, 16#3250cc95, 16#d917abff}.
{16#5fb90bf7, 16#3230cc8d, 16#e5ee85fd}.
{16#30d6061a, 16#3148cc53, 16#0c5b5dfd}.
{16#f7121ee2, 16#2f68cbdb, 16#83e3b77f}.
{16#ce2b19c5, 16#2ea0cba9, 16#b5f7abff}.
{16#d7321ae6, 16#2e68cb9b, 16#95fdbdbf}.
{16#b154162a, 16#2d58cb57, 16#f80f7fff}.
{16#bf5a17eb, 16#2d28cb4b, 16#18f77aff}.
{16#977212ee, 16#2c68cb1b, 16#04ceffff}.
{16#6c890d91, 16#2bb0caed, 16#246f35ff}.
{16#11f4023e, 16#2858ca17, 16#e4f2a67f}.
{16#c4201884, 16#26f8c9bf, 16#d991ebff}.
{16#d4301a86, 16#2678c99f, 16#26fbeb7d}.
{16#9f7b13ef, 16#2420c909, 16#3bc9eadf}.
{16#75910eb2, 16#2370c8dd, 16#623abbff}.
{16#7e9a0fd3, 16#2328c8cb, 16#855defff}.
{16#7a9e0f53, 16#2308c8c3, 16#7b0eedff}.
{16#4eaa09d5, 16#22a8c8ab, 16#8c4bbf7f}.
{16#38dc071b, 16#2118c847, 16#dbe3697f}.
{16#15f102be, 16#2070c81d, 16#3f9bbfff}.
{16#e2011c40, 16#1ff0c7fd, 16#36a1edfd}.
{16#f81b1f03, 16#1f20c7c9, 16#8df277ff}.
{16#c0231804, 16#1ee0c7b9, 16#ebeeb7ff}.
{16#dd3e1ba7, 16#1e08c783, 16#24cda1ff}.
{16#a74414e8, 16#1dd8c777, 16#254afdff}.
{16#a84b1509, 16#1da0c769, 16#effedf7f}.
{16#8a69114d, 16#1cb0c72d, 16#d8f5e7fd}.
{16#9073120e, 16#1c60c719, 16#7db0fdff}.
{16#7e9d0fd3, 16#1b10c6c5, 16#7c0d6dff}.
{16#47a408f4, 16#1ad8c6b7, 16#4487ff7f}.
{16#52b10a56, 16#1a70c69d, 16#7c3e9dfd}.
{16#3fdc07fb, 16#1918c647, 16#d5bbffff}.
{16#eb091d61, 16#17b0c5ed, 16#a55bebfd}.
{16#fe1c1fc3, 16#1718c5c7, 16#28f3c57f}.
{16#ae4c15c9, 16#1598c567, 16#ceb77fff}.
{16#b65416ca, 16#1558c557, 16#647db7fd}.
{16#61830c30, 16#13e0c4f9, 16#80137dff}.
{16#0cee019d, 16#1088c423, 16#fb5bb5ff}.
{16#16f402de, 16#1058c417, 16#66edfcff}.
{16#1cfe039f, 16#1008c403, 16#144bbfff}.
{16#e9081d21, 16#0fb8c3ef, 16#2fabf7bf}.
{16#f0111e02, 16#0f70c3dd, 16#6e9dfcfd}.
{16#dd3c1ba7, 16#0e18c387, 16#69df35ff}.
{16#62830c50, 16#0be0c2f9, 16#5763f3ff}.
{16#6f8e0df1, 16#0b88c2e3, 16#1b62f77f}.
{16#2dcc05b9, 16#0998c267, 16#5d4bb5ff}.
{16#0ced019d, 16#0890c225, 16#480e9f5f}.
